Gene_set	Term	Overlap	P-value	adjP	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Overlapping Genes
KEGG_2021_Human	Hematopoietic cell lineage	16/99	2.938069054224071e-17	5.259143607061087e-15	0	0	28.43661212012228	1082.4735936560364	HLA-DRB5;GP1BB;HLA-DMA;CD8B;IL3RA;HLA-DPB1;HLA-DRA;CD38;IL7R;CD34;MS4A1;HLA-DQA1;CD22;HLA-DRB1;HLA-DPA1;HLA-DQB1	16
KEGG_2021_Human	Graft-versus-host disease	11/42	1.0208600117628742e-14	9.136697105277725e-13	0	0	50.593873288466	1629.909246226306	HLA-DMA;HLA-DRB5;PRF1;HLA-DPB1;GZMB;HLA-DRA;KLRD1;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	11
KEGG_2021_Human	Antigen processing and presentation	13/78	2.0322482038099524e-14	1.2125747616066048e-12	0	0	28.883211678832115	910.6024192502276	CD74;HLA-DRB5;IFI30;CTSS;HLA-DMA;CD8B;HLA-DPB1;HLA-DRA;KLRD1;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	13
KEGG_2021_Human	Phagosome	16/152	3.1805250265035424e-14	1.4232849493603353e-12	0	0	17.308165057067605	537.9229717708255	ITGB1;HLA-DRB5;TUBB;ACTB;CTSS;ACTG1;FCGR3A;TUBA1B;HLA-DMA;TUBB1;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DPA1	16
KEGG_2021_Human	Allograft rejection	10/38	1.6414801416079333e-13	5.876498906956401e-12	0	0	50.56632653061224	1488.5719172904635	HLA-DMA;HLA-DRB5;PRF1;HLA-DPB1;GZMB;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	10
KEGG_2021_Human	Leishmaniasis	12/77	4.904054564256625e-13	1.4630429450032266e-11	0	0	26.468227424749163	750.2033655416518	ITGB1;FCGR3A;HLA-DMA;HLA-DRB5;JUN;HLA-DPB1;HLA-DRA;FOS;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	12
KEGG_2021_Human	Type I diabetes mellitus	10/43	6.448624549809307e-13	1.630066002860521e-11	0	0	42.89393939393939	1204.0216984374126	HLA-DMA;HLA-DRB5;PRF1;HLA-DPB1;GZMB;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	10
KEGG_2021_Human	Viral myocarditis	11/60	7.28521118596881e-13	1.630066002860521e-11	0	0	31.979298194097783	893.7497438790322	HLA-DMA;HLA-DRB5;PRF1;HLA-DPB1;HLA-DRA;ACTB;HLA-DQA1;HLA-DRB1;ACTG1;HLA-DPA1;HLA-DQB1	11
KEGG_2021_Human	Asthma	9/31	1.0317592285382142e-12	2.052054465648226e-11	0	0	57.52804642166344	1587.7600318401928	HLA-DMA;HLA-DRB5;HLA-DPB1;FCER1A;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	9
KEGG_2021_Human	Rheumatoid arthritis	12/93	5.018593988303973e-12	8.983283239064112e-11	0	0	21.222758990874933	552.1710121290677	HLA-DMA;HLA-DRB5;JUN;CCL5;HLA-DPB1;HLA-DRA;FOS;LTB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	12
KEGG_2021_Human	Autoimmune thyroid disease	10/53	6.1528814160665305e-12	1.0012416122508263e-10	0	0	32.90199335548173	849.3353671064266	HLA-DMA;HLA-DRB5;PRF1;HLA-DPB1;GZMB;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	10
KEGG_2021_Human	Intestinal immune network for IgA production	9/48	7.703798660917578e-11	1.1491499669202051e-09	0	0	32.42389525368249	755.0462505947967	HLA-DMA;HLA-DRB5;HLA-DPB1;TNFRSF17;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	9
KEGG_2021_Human	Cell adhesion molecules	13/148	8.99137329114744e-11	1.2380429377810711e-09	0	0	13.857529061908624	320.5547239777023	ITGB1;HLA-DRB5;VCAN;HLA-DMA;CD8B;HLA-DPB1;HLA-DRA;CD34;HLA-DQA1;CD22;HLA-DRB1;HLA-DPA1;HLA-DQB1	13
KEGG_2021_Human	Th17 cell differentiation	11/107	4.87772840042136e-10	6.236524169110167e-09	0	0	16.28402278177458	349.14852208269485	HLA-DRB5;JUN;HLA-DMA;HLA-DPB1;HLA-DRA;FOS;IL6ST;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	11
KEGG_2021_Human	Influenza A	13/172	5.879755979382326e-10	7.016508802062909e-09	0	0	11.7515034660056	249.7703992818544	HLA-DRB5;ACTB;ACTG1;HLA-DMA;CDK6;CCL5;IRF7;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DPA1	13
KEGG_2021_Human	Inflammatory bowel disease	9/65	1.317949341199341e-09	1.4744558254667633e-08	0	0	22.561550151975684	461.3202764291509	HLA-DMA;HLA-DRB5;JUN;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	9
KEGG_2021_Human	Th1 and Th2 cell differentiation	10/92	1.774081070057737e-09	1.8680030090607937e-08	0	0	17.21951219512195	346.9728823924445	HLA-DMA;HLA-DRB5;JUN;HLA-DPB1;HLA-DRA;FOS;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	10
KEGG_2021_Human	Staphylococcus aureus infection	10/95	2.4390423842379823e-09	2.425492148769993e-08	0	0	16.60924369747899	329.3888795152181	FCGR3A;HLA-DMA;HLA-DRB5;FPR1;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1	10
KEGG_2021_Human	Epstein-Barr virus infection	13/202	4.210677090776032e-09	3.9669010486784725e-08	0	0	9.871123469663615	190.37095705586464	HLA-DRB5;JUN;TNFAIP3;HLA-DMA;CDK6;IRF7;HLA-DPB1;HLA-DRA;VIM;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DPA1	13
