Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Breast cancer	8/147	3.121074e-16	4.525557e-14	0	0	5.712518e+02	2.039551e+04	JUN;MYC;CTNNB1;AKT1;BRCA1;TP53;EGFR;MTOR
KEGG_2021_Human	Colorectal cancer	7/86	2.513879e-15	1.822562e-13	0	0	5.880886e+02	1.976975e+04	JUN;MYC;CTNNB1;AKT1;TP53;EGFR;MTOR
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	7/193	8.179467e-13	3.953409e-11	0	0	2.484373e+02	6.914501e+03	JUN;MYC;STAT3;CTNNB1;AKT1;TP53;MTOR
KEGG_2021_Human	Proteoglycans in cancer	7/205	1.253845e-12	4.545187e-11	0	0	2.332391e+02	6.391871e+03	MYC;STAT3;CTNNB1;AKT1;TP53;EGFR;MTOR
KEGG_2021_Human	Human cytomegalovirus infection	7/225	2.421795e-12	7.023206e-11	0	0	2.116269e+02	5.660282e+03	MYC;STAT3;CTNNB1;AKT1;TP53;EGFR;MTOR
KEGG_2021_Human	Pathways in cancer	8/531	1.006377e-11	2.432077e-10	0	0	1.488872e+02	3.770133e+03	JUN;MYC;STAT3;CTNNB1;AKT1;TP53;EGFR;MTOR
KEGG_2021_Human	Gastric cancer	6/149	3.165275e-11	6.556640e-10	0	0	2.081853e+02	5.033129e+03	MYC;CTNNB1;AKT1;TP53;EGFR;MTOR
KEGG_2021_Human	Endometrial cancer	5/58	4.283465e-11	7.006541e-10	0	0	3.761698e+02	8.980555e+03	MYC;CTNNB1;AKT1;TP53;EGFR
KEGG_2021_Human	Hepatitis C	6/157	4.348888e-11	7.006541e-10	0	0	1.970762e+02	4.701945e+03	MYC;STAT3;CTNNB1;AKT1;TP53;EGFR
KEGG_2021_Human	Hepatocellular carcinoma	6/168	6.558361e-11	9.509623e-10	0	0	1.835926e+02	4.304823e+03	MYC;CTNNB1;AKT1;TP53;EGFR;MTOR
