Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Hematopoietic cell lineage	20/99	8.189834e-21	1.646157e-18	0	0	2.773699e+01	1.282874e+03	CSF1R;HLA-DRB5;GP1BB;ITGA2B;HLA-DMA;HLA-DMB;CD8B;CD8A;IL3RA;HLA-DPB1;HLA-DRA;CD38;IL7R;CD34;MS4A1;HLA-DQA1;CD22;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Phagosome	19/152	9.556660e-16	7.432807e-14	0	0	1.552249e+01	5.368318e+02	ITGB1;HLA-DRB5;TUBB;CYBB;ACTB;TUBA4A;CTSS;ACTG1;FCGR3A;TUBA1B;HLA-DMA;HLA-DMB;TUBB1;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Leishmaniasis	15/77	1.205169e-15	7.432807e-14	0	0	2.581255e+01	8.867169e+02	ITGB1;HLA-DRB5;JUN;CYBB;FOS;NFKBIA;FCGR3A;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Antigen processing and presentation	15/78	1.479166e-15	7.432807e-14	0	0	2.540154e+01	8.673941e+02	CD74;HLA-DRB5;IFI30;CTSS;HLA-DMA;HLA-DMB;CD8B;CD8A;HLA-DPB1;HLA-DRA;KLRD1;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Graft-versus-host disease	12/42	6.097390e-15	2.451151e-13	0	0	4.206383e+01	1.376788e+03	HLA-DMA;HLA-DRB5;HLA-DMB;PRF1;HLA-DPB1;GZMB;HLA-DRA;KLRD1;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Allograft rejection	11/38	7.206989e-14	2.414341e-12	0	0	4.262257e+01	1.289808e+03	HLA-DMA;HLA-DRB5;HLA-DMB;PRF1;HLA-DPB1;GZMB;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Asthma	10/31	2.946403e-13	8.287466e-12	0	0	4.957143e+01	1.430285e+03	HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;FCER1A;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Type I diabetes mellitus	11/43	3.298494e-13	8.287466e-12	0	0	3.595370e+01	1.033314e+03	HLA-DMA;HLA-DRB5;HLA-DMB;PRF1;HLA-DPB1;GZMB;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Viral myocarditis	12/60	6.596319e-13	1.473178e-11	0	0	2.626596e+01	7.366838e+02	HLA-DMA;HLA-DRB5;HLA-DMB;PRF1;HLA-DPB1;HLA-DRA;ACTB;HLA-DQA1;HLA-DRB1;ACTG1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Th17 cell differentiation	14/107	3.405488e-12	6.845031e-11	0	0	1.594971e+01	4.211621e+02	HLA-DRB5;JUN;FOS;NFKBIA;HLA-DMA;HLA-DMB;IL2RB;HLA-DPB1;HLA-DRA;IL6ST;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Autoimmune thyroid disease	11/53	4.007120e-12	7.322101e-11	0	0	2.737944e+01	7.185172e+02	HLA-DMA;HLA-DRB5;HLA-DMB;PRF1;HLA-DPB1;GZMB;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
